id,enterprise_id,enterprise_name,chain_stage,main_products,revenue_2023,domestic_market_share,core_customers,r_and_d_ratio,key_technologies,headquarters,sensitivity_level,data_source,created_at
1,ENT_001,华夏锂业,上游-原材料,锂矿开采与锂盐加工,85.6,12.3,东海电池科技、北方动力,6.8,高纯度锂提取技术、低品位锂矿开发,宜昌,高,行业报告,"2025-11-25 08:00:16"
2,ENT_002,东海电池科技,中游-电芯制造,动力锂电池电芯,156.8,18.5,北极星汽车、神州电动车,8.5,高能量密度电芯、快充技术,宁波,中,企业财报,"2025-11-25 08:00:16"
3,ENT_003,恒正电池材料,上游-原材料,正极材料,42.3,8.7,东海电池科技、华夏锂业,7.2,高镍三元材料、磷酸铁锂优化,上海,中,行业报告,"2025-11-25 08:00:16"
4,ENT_004,北极星汽车,下游-整车,新能源乘用车,625.4,15.2,终端消费者,5.6,电池管理系统、续航优化技术,深圳,高,行业报告,"2025-11-25 08:00:16"
5,ENT_005,绿能环保回收,回收,动力电池回收与梯次利用,18.6,6.8,东海电池科技、恒正电池材料,9.5,电池拆解技术、材料回收工艺,合肥,低,企业财报,"2025-11-25 08:00:16"
6,ENT_006,远航电池材料,上游-原材料,负极材料,32.8,7.2,东海电池科技、华夏锂业,5.9,硅碳负极材料、石墨烯应用,天津,中,行业报告,"2025-11-25 08:00:16"
7,ENT_007,智能电池系统,中游-电池PACK,电池包设计与制造,78.5,10.6,北极星汽车、神州电动车,7.8,热管理技术、轻量化设计,苏州,中,企业财报,"2025-11-25 08:00:16"
8,ENT_008,神州电动车,下游-整车,新能源商用车,486.3,12.8,物流企业、公交公司,6.2,电池集成技术、快充系统,北京,高,行业报告,"2025-11-25 08:00:16"
9,ENT_009,循环科技,回收,动力电池回收与梯次利用,15.2,5.3,智能电池系统、华夏锂业,8.7,电池健康评估、材料再生技术,成都,低,行业报告,"2025-11-25 08:00:16"
10,ENT_010,北方动力,中游-电芯制造,动力锂电池电芯,124.7,15.3,神州电动车、远航电池材料,7.5,长寿命电池技术、低温性能优化,长春,中,企业财报,"2025-11-25 08:00:16"
11,ENT_011,新能源矿产,上游-原材料,镍钴锰矿开采与加工,68.9,10.5,恒正电池材料、华夏锂业,5.8,低品位矿提炼、湿法冶金技术,昆明,高,行业报告,"2025-11-25 08:00:16"
12,ENT_012,智控电池科技,中游-电池PACK,电池管理系统(BMS),45.6,8.9,北极星汽车、北方动力,12.3,电池状态监测、热失控预警,杭州,中,企业财报,"2025-11-25 08:00:16"
13,ENT_013,绿源汽车,下游-整车,新能源SUV,325.8,9.7,终端消费者,4.8,电池安全设计、续航优化,广州,高,行业报告,"2025-11-25 08:00:16"
14,ENT_014,绿环科技,回收,动力电池回收与梯次利用,12.4,4.2,智控电池科技、北方动力,8.3,电池拆解自动化、材料分离技术,武汉,低,行业报告,"2025-11-25 08:00:16"
15,ENT_015,动力未来,中游-电芯制造,动力锂电池电芯,98.7,12.1,绿源汽车、智能电池系统,7.9,高安全性电芯、长寿命技术,南京,中,企业财报,"2025-11-25 08:00:16"
16,ENT_016,锂源科技,上游-原材料,锂盐加工与提纯,56.3,9.8,动力未来、恒正电池材料,6.2,锂盐纯化工艺、废水处理技术,青岛,中,行业报告,"2025-11-25 08:00:16"
17,ENT_017,轻量化设计,中游-电池PACK,电池包结构件,28.6,6.3,智能电池系统、北方动力,5.7,轻量化材料、结构优化设计,重庆,低,企业财报,"2025-11-25 08:00:16"
18,ENT_018,未来出行,下游-整车,新能源智能汽车,425.7,11.2,终端消费者,6.8,自动驾驶技术、电池集成系统,西安,高,行业报告,"2025-11-25 08:00:16"
19,ENT_019,再生资源,回收,动力电池回收与梯次利用,9.8,3.5,动力未来、锂源科技,7.6,电芯拆解技术、材料再生,郑州,低,行业报告,"2025-11-25 08:00:16"
20,ENT_020,隔膜科技,上游-原材料,锂电池隔膜,38.5,7.9,动力未来、北方动力,6.5,高孔隙率隔膜、耐高温材料,无锡,中,企业财报,"2025-11-25 08:00:16"
21,ENT_001,华夏锂业,上游-原材料,锂化合物、氢氧化锂,85.6,12.3,中能电池、恒泰动力,5.2,高纯度锂提取技术、低能耗生产工艺,宜春,中,行业调研报告,"2025-11-25 08:00:16"
