企业ID,企业名称,产业链环节,主要产品/服务,2023年预估营收(亿元),国内市场份额(%),核心客户,研发投入占比(%),关键技术布局,总部所在地,敏感等级,数据来源标签
ENT_001,华夏锂业,上游-原材料,锂矿开采与锂化合物生产,265.3,18.5,比亚迪、宁德时代,8.2,高效锂盐提纯技术,赣州,高,行业协会统计
ENT_002,东海电池科技,中游-电芯制造,动力锂离子电池电芯,486.7,28.3,特斯拉、蔚来汽车,12.5,高能量密度电池技术,深圳,高,企业财报
ENT_003,北方石墨材料,上游-原材料,石墨负极材料,87.5,9.2,宁德时代、LG化学,6.8,石墨化工艺优化,天津,中,行业调研
ENT_004,长江动力系统,中游-电池PACK,新能源汽车电池包,142.3,15.7,广汽、小鹏汽车,9.3,轻量化电池集成技术,上海,中,企业披露
ENT_005,华夏新能源汽车,下游-整车,纯电动汽车制造,876.5,22.4,--,10.8,800V高压平台技术,北京,高,市场监测
ENT_006,绿色回收科技,回收,动力电池回收与梯次利用,43.2,12.8,比亚迪、国轩高科,11.2,无损拆解技术,深圳,中,行业报告
ENT_007,西南钴业,上游-原材料,钴矿开采与钴盐生产,156.8,14.3,宁德时代、亿纬锂能,7.5,低钴高镍正极材料,成都,高,海关数据
ENT_008,东海电芯科技,中游-电芯制造,磷酸铁锂电芯,325.6,19.8,比亚迪、理想汽车,11.3,长循环寿命技术,宁波,高,企业财报
ENT_009,北方电解液,上游-原材料,锂电池电解液,98.7,11.5,宁德时代、中创新航,8.7,高安全性电解液配方,天津,中,行业调研
ENT_010,东方电池系统,中游-电池PACK,储能电池系统,78.3,8.9,阳光电源、华为,7.5,智能热管理系统,上海,低,企业披露
ENT_011,华夏新能源汽车,下游-整车,插电式混合动力汽车,654.3,16.7,--,9.5,高效混动系统,北京,高,市场监测
ENT_012,绿色循环科技,回收,电池材料再生利用,32.1,9.2,邦普循环、格林美,10.5,金属回收率提升技术,长沙,中,行业报告
ENT_013,南方镍业,上游-原材料,镍矿资源开发与加工,189.5,16.8,宁德时代、孚能科技,7.8,高镍三元材料制备,长沙,高,海关数据
ENT_014,东海电池材料,上游-原材料,锂电池隔膜,76.4,8.7,宁德时代、亿纬锂能,9.2,高孔隙率隔膜技术,苏州,中,行业调研
ENT_015,华夏动力系统,中游-电芯制造,三元锂电池电芯,423.8,24.6,特斯拉、小鹏汽车,12.1,高镍低钴技术,合肥,高,企业财报
ENT_016,东方电池科技,中游-电池PACK,商用车电池系统,95.6,11.2,宇通客车、中通客车,8.3,长寿命电池技术,杭州,中,企业披露
ENT_017,华夏汽车制造,下游-整车,高端智能电动汽车,923.4,25.8,--,11.2,CTB车身电池一体化技术,上海,高,市场监测
ENT_018,绿色能源回收,回收,动力电池梯次利用,28.7,7.5,铁塔公司、国家电网,9.8,电池健康评估技术,广州,低,行业报告
ENT_019,北方正极材料,上游-原材料,三元正极材料,132.6,14.8,宁德时代、国轩高科,8.5,高电压正极材料,天津,中,行业调研
ENT_020,东海电池科技,中游-电芯制造,磷酸锰铁锂电池,198.3,12.5,比亚迪、长城汽车,10.7,低温性能优化技术,深圳,中,企业财报
ENT_021,华夏新能源汽车,下游-整车,经济型电动汽车,456.7,12.3,--,8.9,低成本电池解决方案,北京,中,市场监测
ENT_022,绿色再生资源,回收,电池拆解与材料回收,45.3,13.2,邦普循环、华友钴业,10.8,自动化拆解线,合肥,中,行业报告
ENT_023,西南锂业,上游-原材料,锂辉石提纯与加工,178.9,15.2,宁德时代、孚能科技,7.9,锂资源高效利用技术,成都,高,海关数据
ENT_024,东方电池材料,上游-原材料,硅碳负极材料,67.8,7.6,宁德时代、中创新航,9.5,高容量硅碳复合技术,苏州,低,行业调研
ENT_025,华夏动力系统,中游-电芯制造,固态电池电芯,267.4,8.9,蔚来汽车、理想汽车,14.2,固态电解质技术,南京,高,企业财报
ENT_026,东方电池科技,中游-电池PACK,乘用车电池包,123.5,13.8,吉利、长安汽车,8.7,模块化设计技术,杭州,中,企业披露
ENT_027,华夏汽车制造,下游-整车,智能网联电动汽车,1123.6,28.7,--,12.5,自动驾驶集成技术,深圳,高,市场监测
ENT_028,绿色能源回收,回收,电池金属回收,52.8,15.3,格林美、邦普循环,11.3,湿法回收工艺,广州,高,行业报告
ENT_029,北方石墨烯材料,上游-原材料,石墨烯导电剂,89.2,10.6,宁德时代、比亚迪,9.8,石墨烯规模化制备,天津,中,行业调研
ENT_030,东海电池科技,中游-电芯制造,钠离子电池,156.7,6.8,--,13.2,钠离子正极材料,深圳,高,企业财报
ENT_031,华夏新能源汽车,下游-整车,高端智能电动汽车,876.5,22.4,--,10.8,800V高压平台技术,北京,高,市场监测
ENT_032,绿色循环科技,回收,电池材料再生利用,32.1,9.2,邦普循环、格林美,10.5,金属回收率提升技术,长沙,中,行业报告
ENT_033,南方镍业,上游-原材料,镍矿资源开发与加工,189.5,16.8,宁德时代、孚能科技,7.8,高镍三元材料制备,长沙,高,海关数据
ENT_034,东海电池材料,上游-原材料,锂电池隔膜,76.4,8.7,宁德时代、亿纬锂能,9.2,高孔隙率隔膜技术,苏州,中,行业调研
ENT_035,华夏动力系统,中游-电芯制造,三元锂电池电芯,423.8,24.6,特斯拉、小鹏汽车,12.1,高镍低钴技术,合肥,高,企业财报
ENT_036,东方电池科技,中游-电池PACK,商用车电池系统,95.6,11.2,宇通客车、中通客车,8.3,长寿命电池技术,杭州,中,企业披露
ENT_037,华夏汽车制造,下游-整车,高端智能电动汽车,923.4,25.8,--,11.2,CTB车身电池一体化技术,上海,高,市场监测
ENT_038,绿色能源回收,回收,动力电池梯次利用,28.7,7.5,铁塔公司、国家电网,9.8,电池健康评估技术,广州,低,行业报告
ENT_039,北方正极材料,上游-原材料,三元正极材料,132.6,14.8,宁德时代、国轩高科,8.5,高电压正极材料,天津,中,行业调研
ENT_040,东海电池科技,中游-电芯制造,磷酸锰铁锂电池,198.3,12.5,比亚迪、长城汽车,10.7,低温性能优化技术,深圳,中,企业财报
ENT_041,华夏新能源汽车,下游-整车,经济型电动汽车,456.7,12.3,--,8.9,低成本电池解决方案,北京,中,市场监测
ENT_042,绿色再生资源,回收,电池拆解与材料回收,45.3,13.2,邦普循环、华友钴业,10.8,自动化拆解线,合肥,中,行业报告
ENT_043,西南锂业,上游-原材料,锂辉石提纯与加工,178.9,15.2,宁德时代、孚能科技,7.9,锂资源高效利用技术,成都,高,海关数据
ENT_044,东方电池材料,上游-原材料,硅碳负极材料,67.8,7.6,宁德时代、中创新航,9.5,高容量硅碳复合技术,苏州,低,行业调研
ENT_045,华夏动力系统,中游-电芯制造,固态电池电芯,267.4,8.9,蔚来汽车、理想汽车,14.2,固态电解质技术,南京,高,企业财报
ENT_046,东方电池科技,中游-电池PACK,乘用车电池包,123.5,13.8,吉利、长安汽车,8.7,模块化设计技术,杭州,中,企业披露
ENT_047,华夏汽车制造,下游-整车,智能网联电动汽车,1123.6,28.7,--,12.5,自动驾驶集成技术,深圳,高,市场监测
ENT_048,绿色能源回收,回收,电池金属回收,52.8,15.3,格林美、邦普循环,11.3,湿法回收工艺,广州,高,行业报告
ENT_049,北方石墨烯材料,上游-原材料,石墨烯导电剂,89.2,10.6,宁德时代、比亚迪,9.8,石墨烯规模化制备,天津,中,行业调研
ENT_050,东海电池科技,中游-电芯制造,钠离子电池,156.7,6.8,--,13.2,钠离子正极材料,深圳,高,企业财报
ENT_051,华夏新能源汽车,下游-整车,高端智能电动汽车,876.5,22.4,--,10.8,800V高压平台技术,北京,高,市场监测
ENT_052,绿色循环科技,回收,电池材料再生利用,32.1,9.2,邦普循环、格林美,10.5,金属回收率提升技术,长沙,中,行业报告
ENT_053,南方镍业,上游-原材料,镍矿资源开发与加工,189.5,16.8,宁德时代、孚能科技,7.8,高镍三元材料制备,长沙,高,海关数据
ENT_054,东海电池材料,上游-原材料,锂电池隔膜,76.4,8.7,宁德时代、亿纬锂能,9.2,高孔隙率隔膜技术,苏州,中,行业调研
ENT_055,华夏动力系统,中游-电芯制造,三元锂电池电芯,423.8,24.6,特斯拉、小鹏汽车,12.1,高镍低钴技术,合肥,高,企业财报
ENT_056,东方电池科技,中游-电池PACK,商用车电池系统,95.6,11.2,宇通客车、中通客车,8.3,长寿命电池技术,杭州,中,企业披露
ENT_057,华夏汽车制造,下游-整车,高端智能电动汽车,923.4,25.8,--,11.2,CTB车身电池一体化技术,上海,高,市场监测
