chain_stage,main_products,revenue_2023,domestic_market_share,r_and_d_ratio,sensitivity_level,id,enterprise_id,enterprise_name,headquarters,data_source,created_at,core_customers
上游-零部件,风力发电机组,2944.64,0.39,15.18,中,1,ENT_GAN_5000,毕博诚传媒有限公司 (合成),西藏自治区天津,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,单晶硅片,4143.2,0.39,8.67,低,2,ENT_GAN_5001,开发区世创科技有限公司 (合成),天津市兴城,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,锂离子电池,315.22,9.82,10.27,高,3,ENT_GAN_5002,四通科技有限公司 (合成),天津市南昌,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,智能电网系统,6242.7,8.11,11.63,低,4,ENT_GAN_5003,凌云信息有限公司 (合成),浙江省惠州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,氢燃料电池,112.51,8.0,11.95,高,5,ENT_GAN_5004,国讯网络有限公司 (合成),湖北省宜都,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,氢燃料电池,4758.1,9.69,8.95,高,6,ENT_GAN_5005,海创传媒有限公司 (合成),澳门特别行政区杭州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,单晶硅片,1184.46,0.39,12.97,低,7,ENT_GAN_5006,双敏电子网络有限公司 (合成),广东省广州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,单晶硅片,1004.89,6.11,13.27,中,8,ENT_GAN_5007,创亿传媒有限公司 (合成),山西省荆门,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,锂离子电池,3990.88,5.02,16.57,中,9,ENT_GAN_5008,双敏电子传媒有限公司 (合成),江西省银川,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,锂离子电池,3110.18,3.83,16.57,中,10,ENT_GAN_5009,济南亿次元网络有限公司 (合成),青海省台北,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,风力发电机组,8753.34,4.35,12.06,中,11,ENT_GAN_5010,济南亿次元科技有限公司 (合成),江西省香港,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,锂离子电池,112.51,6.83,9.53,中,12,ENT_GAN_5011,东方峻景信息有限公司 (合成),山东省佛山,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,风力发电机组,5381.85,6.3,15.82,高,13,ENT_GAN_5012,联通时科网络有限公司 (合成),西藏自治区成都,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,智能电网系统,3597.55,4.66,10.47,高,14,ENT_GAN_5013,群英信息有限公司 (合成),辽宁省西安,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,储能变流器,112.51,10.45,12.04,低,15,ENT_GAN_5014,超艺网络有限公司 (合成),陕西省北镇,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,单晶硅片,2274.83,4.06,8.0,中,16,ENT_GAN_5015,凌云网络有限公司 (合成),黑龙江省汕尾,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,智能电网系统,2828.2,2.53,6.71,中,17,ENT_GAN_5016,和泰信息有限公司 (合成),湖南省济南,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,智能电网系统,5143.57,5.58,13.23,低,18,ENT_GAN_5017,天益传媒有限公司 (合成),湖南省澳门,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,风力发电机组,112.51,4.45,11.26,低,19,ENT_GAN_5018,雨林木风计算机传媒有限公司 (合成),山东省邯郸,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,储能变流器,3798.29,10.0,11.51,中,20,ENT_GAN_5019,毕博诚科技有限公司 (合成),香港特别行政区兴安盟,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,氢燃料电池,4179.14,2.37,13.58,低,21,ENT_GAN_5020,泰麒麟传媒有限公司 (合成),山西省太原,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,锂离子电池,4582.69,11.26,9.59,高,22,ENT_GAN_5021,华成育卓网络有限公司 (合成),湖北省嘉禾,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,智能电网系统,112.51,3.08,15.1,低,23,ENT_GAN_5022,四通网络有限公司 (合成),辽宁省武汉,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,智能电网系统,4051.96,3.46,9.34,低,24,ENT_GAN_5023,双敏电子传媒有限公司 (合成),河北省柳州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,风力发电机组,5815.16,5.57,13.37,低,25,ENT_GAN_5024,毕博诚科技有限公司 (合成),吉林省宜都,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,风力发电机组,1947.19,5.86,3.93,中,26,ENT_GAN_5025,巨奥传媒有限公司 (合成),青海省通辽,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,储能变流器,112.51,3.12,8.95,高,27,ENT_GAN_5026,鸿睿思博科技有限公司 (合成),北京市沈阳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,智能电网系统,2491.38,5.55,16.27,中,28,ENT_GAN_5027,维旺明网络有限公司 (合成),香港特别行政区荆门,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,氢燃料电池,5407.2,0.39,9.33,高,29,ENT_GAN_5028,群英网络有限公司 (合成),广东省张家港,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,锂离子电池,2952.46,2.15,10.71,低,30,ENT_GAN_5029,襄樊地球村网络有限公司 (合成),北京市哈尔滨,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,储能变流器,445.85,2.07,11.62,高,31,ENT_GAN_5030,联软科技有限公司 (合成),安徽省汕尾,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,智能电网系统,5810.81,5.64,8.32,低,32,ENT_GAN_5031,飞利信信息有限公司 (合成),湖南省齐齐哈尔,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,储能变流器,1375.55,2.23,6.43,低,33,ENT_GAN_5032,艾提科信传媒有限公司 (合成),辽宁省马鞍山,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,单晶硅片,3594.08,9.8,3.35,高,34,ENT_GAN_5033,华远软件科技有限公司 (合成),吉林省深圳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,锂离子电池,8026.46,6.06,7.38,高,35,ENT_GAN_5034,盟新信息有限公司 (合成),安徽省上海,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,储能变流器,1386.33,3.26,9.29,高,36,ENT_GAN_5035,华泰通安网络有限公司 (合成),四川省六安,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,风力发电机组,919.22,3.6,9.62,低,37,ENT_GAN_5036,精芯科技有限公司 (合成),福建省沈阳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,智能电网系统,5419.69,2.49,12.19,高,38,ENT_GAN_5037,华远软件传媒有限公司 (合成),香港特别行政区沈阳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,锂离子电池,2796.2,3.23,11.51,高,39,ENT_GAN_5038,天益信息有限公司 (合成),湖北省长沙,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,单晶硅片,787.08,3.38,9.78,高,40,ENT_GAN_5039,襄樊地球村信息有限公司 (合成),天津市齐齐哈尔,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,智能电网系统,464.53,11.31,7.74,低,41,ENT_GAN_5040,恒聪百汇科技有限公司 (合成),甘肃省阜新,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,风力发电机组,112.51,2.34,10.71,低,42,ENT_GAN_5041,群英网络有限公司 (合成),江西省梧州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,单晶硅片,6495.41,10.17,16.57,高,43,ENT_GAN_5042,晖来计算机信息有限公司 (合成),河北省潜江,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-运营维护,智能电网系统,2091.72,3.37,13.05,中,44,ENT_GAN_5043,菊风公司科技有限公司 (合成),陕西省重庆,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,风力发电机组,112.51,6.21,9.5,中,45,ENT_GAN_5044,合联电子传媒有限公司 (合成),山东省兰州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,智能电网系统,693.33,0.76,12.79,低,46,ENT_GAN_5045,群英科技有限公司 (合成),海南省哈尔滨,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,储能变流器,6743.56,1.01,12.24,中,47,ENT_GAN_5046,佳禾传媒有限公司 (合成),黑龙江省福州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,储能变流器,112.51,13.85,2.66,中,48,ENT_GAN_5047,开发区世创网络有限公司 (合成),河南省兴安盟,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,锂离子电池,1555.81,1.81,5.53,高,49,ENT_GAN_5048,创汇科技有限公司 (合成),河南省贵阳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,风力发电机组,2677.29,2.96,16.57,中,50,ENT_GAN_5049,毕博诚科技有限公司 (合成),台湾省佛山,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,智能电网系统,2458.05,5.53,9.52,中,51,ENT_GAN_5050,图龙信息科技有限公司 (合成),香港特别行政区贵阳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,储能变流器,5451.51,9.85,8.33,高,52,ENT_GAN_5051,MBP软件网络有限公司 (合成),青海省兴城,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,锂离子电池,5859.8,1.68,10.12,高,53,ENT_GAN_5052,信诚致远传媒有限公司 (合成),湖南省台北,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,氢燃料电池,6972.68,0.39,8.87,高,54,ENT_GAN_5053,信诚致远网络有限公司 (合成),天津市深圳,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,储能变流器,8541.72,8.51,9.8,中,55,ENT_GAN_5054,群英信息有限公司 (合成),安徽省合肥,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,风力发电机组,5756.73,2.75,2.0,中,56,ENT_GAN_5055,万迅电脑科技有限公司 (合成),澳门特别行政区惠州,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,锂离子电池,1230.25,3.62,11.88,中,57,ENT_GAN_5056,海创网络有限公司 (合成),云南省宜都,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,氢燃料电池,112.51,3.31,12.08,中,58,ENT_GAN_5057,七喜网络有限公司 (合成),辽宁省佛山,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,储能变流器,112.51,4.58,16.57,低,59,ENT_GAN_5058,数字100信息有限公司 (合成),青海省六安,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-系统集成,单晶硅片,112.51,10.68,5.16,低,60,ENT_GAN_5059,精芯科技有限公司 (合成),湖南省永安,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,氢燃料电池,1167.12,7.18,12.63,低,61,ENT_GAN_5060,惠派国际公司传媒有限公司 (合成),澳门特别行政区齐齐哈尔,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
下游-能源服务,锂离子电池,361.88,7.01,2.34,高,62,ENT_GAN_5061,四通传媒有限公司 (合成),台湾省长沙,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,储能变流器,2746.13,0.46,6.69,高,63,ENT_GAN_5062,东方峻景传媒有限公司 (合成),吉林省嘉禾,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-原材料,锂离子电池,112.51,6.81,6.57,高,64,ENT_GAN_5063,立信电子传媒有限公司 (合成),宁夏回族自治区马鞍山,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
中游-设备制造,风力发电机组,5896.37,1.1,12.61,高,65,ENT_GAN_5064,晖来计算机信息有限公司 (合成),宁夏回族自治区武汉,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
上游-零部件,单晶硅片,3372.93,9.53,14.31,低,66,ENT_GAN_5065,凌云传媒有限公司 (合成),浙江省合肥,GAN模型合成,2025-12-08 09:26:46.423526,混合生成客户
